"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","CTR","=~","CENTERING","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","0.000",NA,"[1.000, 1.000]","1.000","CTR.BY.CENTERING"
"2","TradPed","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.845","0.020","0.000","[0.806, 0.884]","0.845***","TradPed.BY.ClearResponsibilities"
"3","TradPed","=~","EffectiveAnswers","0.967","0.056","0.000","[0.857, 1.078]","0.967***","0.815","0.023","0.000","[0.771, 0.859]","0.815***","TradPed.BY.EffectiveAnswers"
"4","TradPed","=~","Feedback","0.915","0.063","0.000","[0.791, 1.039]","0.915***","0.725","0.030","0.000","[0.665, 0.784]","0.725***","TradPed.BY.Feedback"
"5","TradPed","=~","ClearOrganization","1.193","0.075","0.000","[1.046, 1.340]","1.193***","0.771","0.026","0.000","[0.720, 0.823]","0.771***","TradPed.BY.ClearOrganization"
"6","TradPed","=~","ClearPresentation","1.111","0.063","0.000","[0.989, 1.234]","1.111***","0.841","0.020","0.000","[0.801, 0.881]","0.841***","TradPed.BY.ClearPresentation"
"7","SRPed","=~","InclusvClassrm","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.702","0.035","0.000","[0.633, 0.771]","0.702***","SRPed.BY.InclusvClassrm"
"8","SRPed","=~","EquitableEval","0.953","0.087","0.000","[0.782, 1.123]","0.953***","0.717","0.033","0.000","[0.652, 0.783]","0.717***","SRPed.BY.EquitableEval"
"9","SRPed","=~","MultPerspectives","1.466","0.116","0.000","[1.238, 1.694]","1.466***","0.839","0.024","0.000","[0.791, 0.886]","0.839***","SRPed.BY.MultPerspectives"
"10","SRPed","=~","DEIintegration","0.901","0.099","0.000","[0.707, 1.095]","0.901***","0.582","0.047","0.000","[0.490, 0.673]","0.582***","SRPed.BY.DEIintegration"
"11","CENTERING","~~","CENTERING","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Variances.CENTERING"
"12","CTR","~~","TradPed","-0.025","0.020","0.217","[-0.065, 0.015]","-0.025","-0.074","0.060","0.213","[-0.191, 0.043]","-0.074","CTR.WITH.TradPed"
"13","CTR","~~","SRPed","0.008","0.015","0.595","[-0.021, 0.037]","0.008","0.034","0.063","0.594","[-0.090, 0.157]","0.034","CTR.WITH.SRPed"
"14","TradPed","~~","SRPed","0.284","0.033","0.000","[0.219, 0.349]","0.284***","0.858","0.027","0.000","[0.806, 0.910]","0.858***","TradPed.WITH.SRPed"
