"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","CTR","=~","CENTERING",1,0,NA,NA,1,1,0.491170909225615,1,1
"2","TradPed","=~","ClearResponsibilities",1,0,NA,NA,1,1,0.692542521902931,0.842919788321675,0.842919788321675
"3","TradPed","=~","EffectiveAnswers",0.972107500671665,0.0579488953532207,16.7752550716679,0,0.858529752835472,1.08568524850786,0.67322578007591,0.817066750597426,0.817066750597426
"4","TradPed","=~","Feedback",0.886195551238808,0.0647469640506421,13.687059528315,0,0.75929383359124,1.01309726888638,0.613728101954082,0.700408908498633,0.700408908498633
"5","TradPed","=~","ClearOrganization",1.22016280757322,0.0764532078993691,15.9596024954146,0,1.0703172735879,1.37000834155854,0.845014627888919,0.787273903764838,0.787273903764838
"6","TradPed","=~","ClearPresentation",1.11799768858285,0.0647957629886901,17.2541789310821,0,0.99100032677422,1.24499505039147,0.774260938732812,0.844469635437813,0.844469635437813
"7","SRPed","=~","InclusvClassrm",1,0,NA,NA,1,1,0.530918595212714,0.781642877390007,0.781642877390007
"8","SRPed","=~","EquitableEval",0.765484910392264,0.084519017156401,9.05695470849771,0,0.599830680756995,0.931139140027533,0.406410173281991,0.642030269294165,0.642030269294165
"9","SRPed","=~","MultPerspectives",1.20168955128318,0.116869103410393,10.2823544993185,0,0.972630317693322,1.43074878487304,0.637999328449063,0.764654271809939,0.764654271809939
"10","SRPed","=~","DEIintegration",0.994643078027314,0.0869196525251917,11.4432472879369,0,0.824283689529202,1.16500246652543,0.528074505724311,0.711700130756683,0.711700130756683
"11","CENTERING","~~","CENTERING",0,0,NA,NA,0,0,0,0,0
"12","TradPed","~~","SRPed",0,0,NA,NA,0,0,0,0,0
"13","SRPed","~","CTR",0.0768359343149004,0.0698587326337932,1.09987586974534,0.271386209677632,-0.0600846656529473,0.213756534282748,0.0710835447447999,0.0710835447447999,0.0710835447447999
"14","TradPed","~","CTR",-0.105695056322975,0.0842869569764515,-1.25399065424208,0.209845402387192,-0.270894456363297,0.0595043437173473,-0.074961948577772,-0.074961948577772,-0.074961948577772
"15","ClearResponsibilities","~~","ClearResponsibilities",0.195410682021601,0.0219499412115793,8.90256060998082,0,0.152389587784134,0.238431776259068,0.195410682021601,0.289486230455742,0.289486230455742
"16","EffectiveAnswers","~~","EffectiveAnswers",0.225667974579491,0.0233533473555956,9.66319607820247,0,0.17989625484407,0.271439694314912,0.225667974579491,0.332401925068163,0.332401925068163
"17","Feedback","~~","Feedback",0.39113885815274,0.0355402447242413,11.0055195507968,0,0.321481258491487,0.460796457813993,0.39113885815274,0.509427360895753,0.509427360895753
"18","ClearOrganization","~~","ClearOrganization",0.438014640468547,0.0430078599022736,10.1845253742884,0,0.353720784007947,0.522308496929148,0.438014640468547,0.380199800450873,0.380199800450873
"19","ClearPresentation","~~","ClearPresentation",0.241153363152622,0.0271327799233123,8.88789736378706,0,0.187974091702479,0.294332634602766,0.241153363152622,0.286871034823528,0.286871034823528
"20","InclusvClassrm","~~","InclusvClassrm",0.179484579688125,0.0258796285622839,6.93536150475128,0.00000000000405186995067197,0.128761439772775,0.230207719603476,0.179484579688125,0.389034412225471,0.389034412225471
"21","EquitableEval","~~","EquitableEval",0.235529655739067,0.0241022702276328,9.77209422658601,0,0.188290074147254,0.282769237330879,0.235529655739067,0.587797133310062,0.587797133310062
"22","MultPerspectives","~~","MultPerspectives",0.289118682736013,0.0398661420142683,7.25223631201977,0.000000000000409894340691608,0.210982480185489,0.367254885286538,0.289118682736013,0.415303844602812,0.415303844602812
"23","DEIintegration","~~","DEIintegration",0.271686738612282,0.0323947048240308,8.38676382723949,0,0.208194283867376,0.335179193357188,0.271686738612282,0.49348292388092,0.49348292388092
"24","CTR","~~","CTR",0.241248862069517,0.0193775879852144,12.4498911966544,0,0.203269487511241,0.279228236627794,1,1,1
"25","TradPed","~~","TradPed",0.476920046266367,0.0539640560796126,8.83773535411741,0,0.371152439890627,0.582687652642108,0.994380706265423,0.994380706265423,0.994380706265423
"26","SRPed","~~","SRPed",0.280450279167218,0.0401964580749607,6.9769898294078,0.00000000000301580982409178,0.201666669034221,0.359233889300215,0.994947129666514,0.994947129666514,0.994947129666514
"27","CENTERING","~1","",0.40645119547767,0.0278966330536848,14.5699014893836,0,0.351774799402518,0.461127591552822,0.40645119547767,0.827514797483598,0.827514797483598
"28","ClearResponsibilities","~1","",4.43962237837335,0.0467986160555702,94.8665313756628,0,4.34789877637811,4.53134598036858,4.43962237837335,5.40363289913794,5.40363289913794
"29","EffectiveAnswers","~1","",4.3649854567304,0.0469043673200678,93.0613865217378,0,4.27305458606543,4.45691632739537,4.3649854567304,5.29760533402864,5.29760533402864
