"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","CTR","=~","CEN",1,0,NA,NA,1,1,0.48254638494284,1,1
"2","TrP","=~","p1T",1,0,NA,NA,1,1,0.691355597203566,0.9115304629521,0.9115304629521
"3","TrP","=~","p2T",0.963150281436623,0.0897894160491801,10.7267685192326,0,0.787166259787347,1.1391343030859,0.665879338019399,0.850342143638203,0.850342143638203
"4","TrP","=~","p3T",0.951973138918301,0.107596783230145,8.84759850935382,0,0.741087318934853,1.16285895890175,0.658151957978616,0.75722280203131,0.75722280203131
"5","SRP","=~","p1S",1,0,NA,NA,1,1,0.49695051964353,0.936056914839958,0.936056914839958
"6","SRP","=~","p2S",1.06099934185932,0.133563283467609,7.94379498851288,0.00000000000000199840144432528,0.799220116605892,1.32277856711275,0.527264174278432,0.761141793957882,0.761141793957882
"7","SRP","=~","p3S",1.40786809275576,0.179307553820626,7.85169426918928,0.00000000000000399680288865056,1.05643174511136,1.75930444040016,0.69964078028452,0.807037993502075,0.807037993502075
"8","Val","=~","p1V",1,0,NA,NA,1,1,0.351885727058381,0.562329173146033,0.562329173146033
"9","Val","=~","p2V",2.23813492601779,0.399110926455074,5.60780168535357,0.0000000204912626866616,1.45589188432943,3.02037796770615,0.787567735696527,0.924553273144704,0.924553273144704
"10","Val","=~","p3V",2.1999085417642,0.400380118407756,5.49454990550696,0.0000000391708148139713,1.41517792955912,2.98463915396928,0.774116416680639,0.852324171742456,0.852324171742456
"11","CTR","~~","CEN",0,0,NA,NA,0,0,0,NA,NA
"12","CTR","~~","TrP",0.075036849368636,0.039343543615713,1.90722142625373,0.0564919200344574,-0.00207507914234215,0.152148777879614,0.22492308991038,0.22492308991038,0.22492308991038
"13","CTR","~~","SRP",0.0677740356168998,0.0287553133822469,2.35692217003424,0.0184271085394159,0.0114146570235333,0.124133414210266,0.282625361655462,0.282625361655462,0.282625361655462
"14","CTR","~~","Val",0.031771534297664,0.0206422195682437,1.53915300593652,0.12376694720777,-0.00868647261706162,0.0722295412123896,0.187110203048185,0.187110203048185,0.187110203048185
"15","TrP","~~","SRP",0.273078657511557,0.0533143431913534,5.12204861141092,0.000000302233945426167,0.168584464997096,0.377572850026018,0.794827943111912,0.794827943111912,0.794827943111912
"16","TrP","~~","Val",0.219471635031469,0.0531112408030306,4.13230102918148,0.0000359149626179001,0.115375515883295,0.323567754179643,0.90214275188716,0.90214275188716,0.90214275188716
"17","SRP","~~","Val",0.120917009450191,0.0319624892179353,3.78309112990925,0.000154892671418994,0.0582716817267882,0.183562337173594,0.691468812596931,0.691468812596931,0.691468812596931
"18","CEN","~~","CEN",0,0,NA,NA,0,0,0,0,0
"19","p1T","~~","p1T",0.0972826898593813,0.0256160193735074,3.79772861820962,0.000146028072647519,0.0470762144600265,0.147489165258736,0.0972826898593813,0.169112215110331,0.169112215110331
"20","p2T","~~","p2T",0.169806860211749,0.0345265212689743,4.91815723017363,0.000000873627302500068,0.102136122013104,0.237477598410395,0.169806860211749,0.276918238752786,0.276918238752786
"21","p3T","~~","p3T",0.3222847185723,0.056651916132121,5.6888582165638,0.0000000127891597312413,0.211249003298159,0.43332043384644,0.3222847185723,0.426613628083852,0.426613628083852
"22","p1S","~~","p1S",0.0348926129648474,0.0185791485923544,1.87805231178388,0.0603740091727833,-0.00152184913958527,0.07130707506928,0.0348926129648474,0.123797452180299,0.123797452180299
"23","p2S","~~","p2S",0.201864466265954,0.039776345130715,5.07498779997452,0.000000387520864508772,0.123904262373118,0.279824670158791,0.201864466265954,0.420663169490578,0.420663169490578
"24","p3S","~~","p3S",0.262060375893179,0.0555861464471651,4.71449079749159,0.00000242315954790406,0.153113530817367,0.371007220968992,0.262060375893179,0.348689677044144,0.348689677044144
