"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","REMS","=~","p1REMS",1,0,NA,NA,1,1,0.271133357168078,0.943018809466662,0.943018809466662
"2","REMS","=~","p2REMS",1.05564799940083,0.0444207713268034,23.7647381589669,0,0.968584887434805,1.14271111136685,0.286221386065312,0.945819866187286,0.945819866187286
"3","REMS","=~","p3REMS",1.03148393305908,0.0461739213834293,22.3391018599787,0,0.940984710122572,1.12198315599558,0.27966970163524,0.928729927504438,0.928729927504438
"4","CMI","=~","p1CMI",1,0,NA,NA,1,1,0.773629799445546,0.96342705063035,0.96342705063035
"5","CMI","=~","p2CMI",1.00575859137089,0.0349855414549287,28.7478355213278,0,0.937188190139593,1.07432899260218,0.778084817332894,0.956565747518748,0.956565747518748
"6","CMI","=~","p3CMI",0.936440242004702,0.0341828353293729,27.3950429501098,0,0.869443115869667,1.00343736813974,0.724458076614836,0.94763977042089,0.94763977042089
"7","PWB","=~","p1PWB",1,0,NA,NA,1,1,0.308046516887036,0.639873419656355,0.639873419656355
"8","PWB","=~","p2PWB",1.56146874432881,0.223464373955525,6.98755115497552,0.00000000000279731793284554,1.12348661954819,1.99945086910943,0.481005007918463,0.784503404932097,0.784503404932097
"9","PWB","=~","p3PWB",1.38651440372215,0.210606536450686,6.58343481208525,0.0000000000459701166022342,0.973733177370082,1.79929563007422,0.427110932680314,0.721489840114977,0.721489840114977
"10","CMI","~","REMS",1.74966727927014,0.198681161553522,8.80640754054981,0,1.36025935821865,2.13907520032162,0.613204356522515,0.613204356522515,0.613204356522515
"11","PWB","~","REMS",-0.651977684417023,0.114460801088576,-5.69607829244954,0.0000000122594596696501,-0.876316732192236,-0.427638636641811,-0.573851313629629,-0.573851313629629,-0.573851313629629
"12","CMI","~~","PWB",0,0,NA,NA,0,0,0,0,0
"13","p1REMS","~~","p1REMS",0.00915237310542388,0.00164695510986333,5.55714788497384,0.0000000274218421303374,0.00592440040593754,0.0123803458049102,0.00915237310542388,0.11071552499208,0.11071552499208
"14","p2REMS","~~","p2REMS",0.00965450482358442,0.00180268463862046,5.35562605724135,0.0000000852606796275523,0.00612130785640473,0.0131877017907641,0.00965450482358442,0.105424780725465,0.105424780725465
"15","p3REMS","~~","p3REMS",0.0124649510400889,0.00197249936717116,6.31936884114968,0.000000000262633692571512,0.00859892332090537,0.0163309787592724,0.0124649510400889,0.137460721757601,0.137460721757601
"16","p1CMI","~~","p1CMI",0.0463023957620414,0.00925906311968757,5.00076467386732,0.000000571033774043883,0.0281549655168706,0.0644498260072121,0.0463023957620414,0.0718083181137052,0.0718083181137052
"17","p2CMI","~~","p2CMI",0.0562277918694625,0.0100119896492111,5.61604574510252,0.0000000195376956835247,0.0366046527434209,0.0758509309955041,0.0562277918694625,0.0849819706738998,0.0849819706738998
"18","p3CMI","~~","p3CMI",0.0596005319026318,0.00951011334457228,6.26706851361006,0.000000000367908370435543,0.0409610522583764,0.0782400115468873,0.0596005319026318,0.101978865516643,0.101978865516643
"19","p1PWB","~~","p1PWB",0.136870536264499,0.0190912315409543,7.16928795142866,0.000000000000753841433720481,0.0994524100237131,0.174288662505284,0.136870536264499,0.590562006817282,0.590562006817282
"20","p2PWB","~~","p2PWB",0.144566385818562,0.0299519145875631,4.82661585441986,0.00000138872621335828,0.0858617119589182,0.203271059678205,0.144566385818562,0.384554407649947,0.384554407649947
"21","p3PWB","~~","p3PWB",0.168022113453036,0.0281328469380956,5.97245326158269,0.00000000233712116326501,0.112882746671791,0.223161480234281,0.168022113453036,0.479452410610866,0.479452410610866
"22","REMS","~~","REMS",0.0735132973692325,0.00939015520719275,7.82876275707585,0.00000000000000488498130835069,0.0551089313538934,0.0919176633845715,1,1,1
"23","CMI","~~","CMI",0.373454193151577,0.047487348573192,7.86428816037126,0.00000000000000377475828372553,0.280380700226821,0.466527686076333,0.623980417141808,0.623980417141808,0.623980417141808
"24","PWB","~~","PWB",0.0636439989664581,0.0169788100987193,3.74843693971574,0.000177940063312176,0.0303661426726233,0.0969218552602928,0.67069466984555,0.67069466984555,0.67069466984555
"25","p1REMS","~1","",0.493717889155026,0.0230197337970587,21.4475933348157,0,0.448600039979092,0.538835738330961,0.493717889155026,1.71718176216417,1.71718176216417
"26","p2REMS","~1","",0.503717882636067,0.0242287690117177,20.7900732551644,0,0.45623036798336,0.551205397288774,0.503717882636067,1.66453802387175,1.66453802387175
"27","p3REMS","~1","",0.521794808968686,0.02410980397571,21.6424326591117,0,0.474540461501974,0.569049156435399,0.521794808968686,1.73278139273638,1.73278139273638
"28","p1CMI","~1","",3.88826912762879,0.0642912773829248,60.4789527585507,0,3.76226053943818,4.01427771581939,3.88826912762879,4.84219152412849,4.84219152412849
"29","p2CMI","~1","",3.8858332096576,0.0651253118842883,59.6670188169197,0,3.75818994388245,4.01347647543274,3.8858332096576,4.77718478259292,4.77718478259292
"30","p3CMI","~1","",4.05134606647188,0.0612079283343561,66.1898903740197,0,3.93138073136824,4.17131140157553,4.05134606647188,5.29943247270627,5.29943247270627
"31","p1PWB","~1","",3.01442312210113,0.0385442796298901,78.2067572943696,0,2.9388777222165,3.08996852198576,3.01442312210113,6.26155182964581,6.26155182964581
"32","p2PWB","~1","",3.20673081703096,0.0490899360006095,65.323589278893,0,3.11051631046638,3.30294532359553,3.20673081703096,5.23007287501654,5.23007287501654
"33","p3PWB","~1","",3.14128214190874,0.0473967070013489,66.276379534539,0,3.0483863032003,3.23417798061718,3.14128214190874,5.30635714730846,5.30635714730846
"34","REMS","~1","",0,0,NA,NA,0,0,0,0,0
"35","CMI","~1","",0,0,NA,NA,0,0,0,0,0
"36","PWB","~1","",0,0,NA,NA,0,0,0,0,0
