"","lhs","op","rhs","exo","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","REMS","=~","Inf32",0,1,0,NA,NA,1,1,0.281875590957381,0.571746905886239,0.571746905886239
"2","REMS","=~","Inf38",0,1.06253510723878,0.168965723263026,6.2884654160581,0.00000000032061953092466,0.731368375021489,1.39370183945607,0.299502711265896,0.606222511932561,0.606222511932561
"3","REMS","=~","Inf21",0,0.894477831910368,0.150709044058193,5.93513041967797,0.00000000293612001378563,0.59909353341185,1.18986213040889,0.252131467468012,0.560294842008976,0.560294842008976
"4","REMS","=~","Inf17",0,0.969904070501011,0.165191299758556,5.87139923179143,0.00000000432132218897152,0.646135072414882,1.29367306858714,0.273392283044442,0.552307372206677,0.552307372206677
"5","REMS","=~","Inf9",0,1.01046697197017,0.162639051346745,6.2129418709893,0.000000000520016918414967,0.691700288850789,1.32923365508955,0.284825974867007,0.596159141540544,0.596159141540544
"6","REMS","=~","Inf36",0,1.02616705650891,0.16879536114414,6.07935579244165,0.00000000120666343583764,0.695334227908962,1.35699988510886,0.289251445474445,0.578694564223536,0.578694564223536
"7","REMS","=~","Inf5",0,0.906775714508865,0.156030140960988,5.81154198108161,0.0000000061900005121629,0.60096225772262,1.21258917129511,0.255597940392988,0.544882144373041,0.544882144373041
"8","REMS","=~","Inf22",0,0.944501781107467,0.165398234207864,5.71047076548873,0.0000000112664089169101,0.620327198953532,1.2686763632614,0.266231997709967,0.532507512695974,0.532507512695974
"9","REMS","=~","SClass6",0,1.14580045192881,0.172796992506837,6.63090505978266,0.0000000000333635341576155,0.807124569978573,1.48447633387905,0.322973179506668,0.653728869336869,0.653728869336869
"10","REMS","=~","SClass31",0,1.03879960904149,0.169385735812778,6.13274549983169,0.000000000863752624979952,0.706809667353632,1.37078955072935,0.292812253684867,0.585624354781161,0.585624354781161
"11","REMS","=~","SClass8",0,0.892923974384531,0.149850485219079,5.95876598650374,0.00000000254149723488695,0.599222420289284,1.18662552847978,0.251693472959653,0.563278994482941,0.563278994482941
"12","REMS","=~","SClass40",0,1.03599839311864,0.167530520886483,6.18393823189164,0.000000000625218321559373,0.707644605869901,1.36435218036738,0.292022659291215,0.592331465636561,0.592331465636561
"13","REMS","=~","SClass2",0,0.962539089888981,0.164381624269401,5.85551514147043,0.00000000475533701305153,0.64035702660076,1.2847211531772,0.271316274782037,0.550329810129748,0.550329810129748
"14","REMS","=~","SClass34",0,0.94926066588617,0.161378139556301,5.8822134676735,0.00000000404815758692223,0.63296532446374,1.2655560073086,0.267573411169261,0.553656729717702,0.553656729717702
"15","REMS","=~","SClass11",0,0.867385989765233,0.162278301295821,5.34505219021275,0.0000000903910051253121,0.549326363753084,1.18544561577738,0.244494938453228,0.489351781242726,0.489351781242726
"16","REMS","=~","mInv27",0,1.04463297933524,0.167634352368088,6.23161639949225,0.000000000461646720850695,0.71607568612209,1.37319027254839,0.29445653838369,0.59863443259894,0.59863443259894
"17","REMS","=~","mInv30",0,0.969679451279677,0.158100921047351,6.13329413172272,0.000000000860777893407771,0.659807340104258,1.2795515624551,0.273328968368688,0.585695907858286,0.585695907858286
"18","REMS","=~","mInv39",0,1.142574296271,0.173830667682525,6.57291553615693,0.0000000000493394214373666,0.801872448204703,1.4832761443373,0.322063804974103,0.645454906221559,0.645454906221559
"19","REMS","=~","mInv7",0,0.946356781413454,0.161256610411284,5.86863868091844,0.00000000439387792816603,0.630299632738332,1.26241393008858,0.266754877017443,0.551963310447893,0.551963310447893
"20","REMS","=~","mInv26",0,1.12159382814994,0.173014636027025,6.48265287784527,0.0000000000901236862915766,0.782491372738669,1.46069628356122,0.316149923123917,0.632767930560096,0.632767930560096
"21","REMS","=~","mInv33",0,1.08042637356241,0.165810368266911,6.51603626995874,0.0000000000721895876409917,0.75544402349594,1.40540872362888,0.304545822533844,0.637433476366004,0.637433476366004
"22","REMS","=~","mInv4",0,0.744247977908788,0.147084976080634,5.05998639521674,0.000000419286393382734,0.45596672212381,1.03252923369377,0.209785338591876,0.457233450457496,0.457233450457496
"23","REMS","=~","mInv14",0,0.909724904016172,0.149752127234136,6.0748713278298,0.000000001240871849717,0.616216128029006,1.20323368000334,0.256429244928206,0.57811547523422,0.57811547523422
"24","REMS","=~","mInv10",0,0.816644932726518,0.15918273925786,5.13023545476016,0.000000289379983087201,0.504652496820681,1.12863736863235,0.230192273014638,0.465032544527169,0.465032544527169
"25","REMS","=~","Exot3",0,1.16430853970344,0.1744691342429,6.67343564668843,0.0000000000249882337044482,0.82235532017347,1.50626175923341,0.328190157685632,0.659860353797783,0.659860353797783
"26","REMS","=~","Exot29",0,1.09187969891716,0.169153240822769,6.45497357074689,0.000000000108237863116756,0.760345439036299,1.42341395879801,0.307774235386641,0.628922878712792,0.628922878712792
"27","REMS","=~","Exot45",0,1.09945487816847,0.172079976533007,6.38920867099014,0.000000000166746394469897,0.762184321703278,1.43672543463366,0.309909493514713,0.61987023383343,0.61987023383343
