"ID","church","Gender","Age","Education","Attendance","Homogeneity","ATSS","Female0"
1,"A",1.29724219488911,90.1619206180982,7.80553543218412,6.31867438822985,0.795739524150267,4.78354419055635,1
2,"A",0.215166363930329,83.2301824540971,3.1737328549521,9.39142771519721,0.795739524150267,5.38515213930788,0
3,"A",1.62732711971737,91.639506601675,8.24748227375094,9.83289364203811,0.795739524150267,4.3722316591065,1
4,"A",0.28246077157557,54.8833125133463,2.17552355691791,7.72173056025058,0.795739524150267,4.86352098838416,0
5,"A",1.37452237720601,18.2452653317549,7.73273430083413,9.91728921089321,0.795739524150267,4.97338863429315,1
6,"A",0.375492799961939,50.4959785757633,6.32046432602685,8.8443333498016,0.795739524150267,4.34554290754262,0
7,"A",0.0103934895992277,13.5499147084774,0.0924760442879051,6.63058512292802,0.795739524150267,3.53575136014275,0
8,"A",1.50673322136514,35.0524448126089,3.56435703974683,8.1117010159418,0.795739524150267,4.15724798090549,1
9,"A",0.775742320381105,72.4836009128555,7.76951238334179,9.65842419419438,0.795739524150267,4.29464214273612,0
10,"A",-0.303973310254514,85.4012874541502,3.67845172779635,5.74379869606346,0.795739524150267,3.93118770752245,0
11,"A",0.891395222041756,53.7019595977268,2.80892831402365,6.04839341443032,0.795739524150267,4.9380801857308,0
12,"A",-0.0125557342823597,11.557134630552,0.474578088079579,5.90820006735623,0.795739524150267,4.63184231409785,0
13,"A",-0.440236611980945,58.7759862427879,4.62312243492343,7.68552408784628,0.795739524150267,3.41397279523485,0
14,"A",-0.659208010546863,69.0414286217745,2.7533240669081,6.90070323176682,0.795739524150267,2.63485616860862,0
15,"A",1.04250021194108,67.8914266164787,6.1733683350496,6.59478981997818,0.795739524150267,4.84158107116115,1
16,"B",0.449745091423392,67.0349871462304,3.43029889442492,6.17672363847494,1.16913978607394,0.983502447301023,0
17,"B",1.30597347542644,38.9529130335571,7.81673463106155,7.90734061386436,1.16913978607394,1.92477714736852,1
18,"B",-0.259696575012058,49.2452137433621,0.486211758046411,5.46905859492719,1.16913978607394,3.7576163879925,0
19,"B",-0.328332182578743,74.384832224343,4.8866333107464,9.26291295036674,1.16913978607394,3.69927815442268,0
20,"B",-0.837234798083082,79.4533474666928,3.85989769779146,9.00151361148805,1.16913978607394,2.91254537500672,0
21,"B",0.877269174223765,24.5168658452807,1.87339284157846,7.48618853591383,1.16913978607394,4.05682395951805,0
22,"B",-0.501180748492479,87.1185403168458,5.87373821580783,9.41703093133867,1.16913978607394,1.24710853344209,0
23,"B",-0.428777543231845,65.9404229955492,2.03214257818647,6.06601379986852,1.16913978607394,3.22803748026714,0
