"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Consent","YrsAgo_1","Discipline","EdLvl","Rqrd","USinst","myGrade","format","Virtual_1","Virtual_2","Virtual_3","Virtual_4","Virtual_5","Virtual_6","StaffNum","1_iPronouns","1_iGenderConf","1_iRace","1_iUS","1_iDis","2_iPronouns","2_iGenderConf","2_iRace","2_iUS","2_iDis","3_iPronouns","3_iGenderConf","3_iRace","3_iUS","3_iDis","4_iPronouns","4_iGenderConf","4_iRace","4_iUS","4_iDis","5_iPronouns","5_iGenderConf","5_iRace","5_iUS","5_iDis","6_iPronouns","6_iGenderConf","6_iRace","6_iUS","6_iDis","7_iPronouns","7_iGenderConf","7_iRace","7_iUS","7_iDis","8_iPronouns","8_iGenderConf","8_iRace","8_iUS","8_iDis","9_iPronouns","9_iGenderConf","9_iRace","9_iUS","9_iDis","10_iPronouns","10_iGenderConf","10_iRace","10_iUS","10_iDis","Gender_10","Gender_11","Gender_13","Intl_1","Intl_2","Intl_4","Disability_4","Disability_5","Disability_6","Race_10","Race_1","Race_7","Race_8","Race_2","StudyHrs_1","myCntrb_1","myCntrb_2","myCntrb_3","cEval_1","cEval_2","cEval_3","cEval_4","cEval_5","cEval_6","cEval_7","cEval_8","cEval_9","cEval_10","cEval_11","cEval_12","cEval_13","cEval_14","cEval_15","cEval_20","cEval_16","cEval_17","cEval_18","cEval_19","USstdnt","myEdLvl","firstGen","Belong_1","Belong_2","Belong_3","Institution_0","Institution_1","Institution_2","Blst_1","Blst_2","Blst_3","Blst_4","Blst_5","Blst_6","nBSoC_1","nBSoC_2","nBSoC_3","nBSoC_4","nBSoC_5","nBSoC_6","INTst_1","INTst_2","INTst_3","INTst_4","INTst_5","INTst_6","wDIS_1","wDIS_2","wDIS_3","wDIS_4","wDIS_5","wDIS_6","LGBTQ_1","LGBTQ_2","LGBTQ_3","LGBTQ_4","LGBTQ_5","LGBTQ_6","Climate_DO_Blst_1","Climate_DO_Blst_2","Climate_DO_Blst_3","Climate_DO_Blst_4","Climate_DO_Blst_5","Climate_DO_Blst_6","Climate_DO_nBSoC_1","Climate_DO_nBSoC_2","Climate_DO_nBSoC_3","Climate_DO_nBSoC_4","Climate_DO_nBSoC_5","Climate_DO_nBSoC_6","Climate_DO_INTst_1","Climate_DO_INTst_2","Climate_DO_INTst_3","Climate_DO_INTst_4","Climate_DO_INTst_5","Climate_DO_INTst_6","Climate_DO_wDIS_1","Climate_DO_wDIS_2","Climate_DO_wDIS_3","Climate_DO_wDIS_4","Climate_DO_wDIS_5","Climate_DO_wDIS_6","Climate_DO_LGBTQ_1","Climate_DO_LGBTQ_2","Climate_DO_LGBTQ_3","Climate_DO_LGBTQ_4","Climate_DO_LGBTQ_5","Climate_DO_LGBTQ_6"
2021-03-14 21:22:27,2021-03-14 21:38:02,0,100,934,1,2021-03-14 21:38:03,"R_3memKZ6pJl2ZRDW","anonymous","EN",1,1,9,5,1,0,1,1,NA,NA,NA,NA,NA,NA,3,2,1,3,0,1,1,1,1,0,1,2,1,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,0,100,0,0,0,100,0,0,39,61,0,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,2,5,5,1,10,1,6,6,7,1,2,3,5,3,5,2,2,2,5,5,1,3,1,2,6,2,2,2,1,1,5,3,2,2,1,2,7,2,1,1,1,2,30,7,16,19,23,22,29,17,2,11,8,20,13,9,10,18,21,6,15,12,24,25,1,26,5,28,14,4,3,27
2021-03-15 04:55:18,2021-03-15 08:10:12,0,100,11694,1,2021-03-15 08:10:12,"R_3MKXzHAe5anBJUP","anonymous","EN",1,1,9,5,1,0,2,4,1,NA,NA,NA,NA,NA,1,2,1,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,0,10,10,90,0,0,100,0,0,5,10,85,0,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,4,1,9,0,4,4,6,1,2,3,6,6,2,2,4,1,4,4,2,4,4,1,7,4,4,4,2,1,6,4,4,2,4,4,6,2,4,4,4,2,13,9,5,25,30,14,19,17,1,26,22,12,3,29,23,20,2,7,4,10,24,8,27,21,16,6,18,28,15,11
2021-03-15 08:35:18,2021-03-15 08:49:18,0,100,840,1,2021-03-15 08:49:19,"R_DDnVQAFw3Nb3tMB","anonymous","EN",1,0,9,5,1,0,2,4,1,NA,NA,NA,NA,NA,2,2,1,3,0,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,100,0,0,100,0,0,10,30,60,0,8,5,5,5,2,4,3,NA,4,4,NA,2,4,2,NA,4,3,4,NA,NA,1,1,1,2,1,9,0,NA,3,NA,1,2,3,NA,5,2,2,NA,2,NA,3,2,2,NA,2,NA,NA,1,NA,2,2,4,NA,NA,NA,NA,NA,4,1,2,2,2,2,25,6,24,13,11,10,7,1,2,4,5,16,18,9,17,30,26,22,27,21,28,23,3,20,12,14,19,8,15,29
2021-03-15 08:52:43,2021-03-15 09:04:05,0,100,682,1,2021-03-15 09:04:06,"R_1JJIbSbf83QaOaV","anonymous","EN",1,0,9,5,1,0,1,4,NA,NA,NA,NA,1,NA,3,1,1,3,0,1,1,1,1,0,1,1,1,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,0,5,2,93,5,0,100,0,2,6,19,73,0,15,4,4,4,4,5,5,5,5,5,5,4,2,4,3,5,4,4,4,4,4,5,5,5,1,9,0,5,3,2,1,2,3,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,5,3,2,2,2,2,29,6,26,30,5,10,7,3,17,2,18,21,24,16,22,9,25,19,15,20,12,8,13,11,27,23,14,1,4,28
2021-03-15 14:39:36,2021-03-15 14:55:08,0,100,931,1,2021-03-15 14:55:09,"R_D5yp4MZRRlcTEaZ","anonymous","EN",1,0,9,5,1,0,1,4,NA,NA,NA,NA,1,NA,1,2,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,80,0,100,0,0,100,0,5,5,10,80,0,6.5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,3,4,3,2,4,5,1,8,0,4,4,4,1,2,3,6,1,1,1,1,1,5,1,1,2,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,13,29,14,17,26,6,15,2,8,16,23,30,9,3,19,24,10,25,7,11,5,20,1,21,28,4,27,12,22,18
2021-03-15 16:10:40,2021-03-15 16:20:46,0,100,606,1,2021-03-15 16:20:47,"R_21ciQHmB0nPENBz","anonymous","EN",1,0,4,4,1,0,1,4,NA,NA,NA,1,NA,NA,1,2,1,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,15,20,80,0,0,90,10,15,20,30,35,0,5,4,5,4,3,4,2,4,2,4,4,4,5,5,5,5,4,1,3,5,5,1,3,4,1,9,1,5,6,5,1,2,3,5,1,1,2,1,2,6,1,1,1,1,1,6,1,1,3,1,1,5,1,1,2,1,1,6,1,1,1,1,1,24,22,23,7,21,26,5,13,19,18,16,1,29,14,30,12,27,25,28,8,2,10,6,11,20,9,3,15,4,17
2021-03-15 16:21:15,2021-03-15 16:37:16,0,100,961,1,2021-03-15 16:37:17,"R_1NcxnWdi2bnDxPX","anonymous","EN",1,0,4,4,1,0,1,4,1,NA,NA,NA,1,NA,2,2,1,3,0,1,1,1,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,15,31,69,0,0,100,0,0,0,40,60,0,7,3,5,5,4,5,5,5,3,4,5,5,5,3,3,5,4,4,3,3,2,2,4,4,1,9,1,6,6,5,2,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,1,17,3,23,24,7,6,8,14,11,15,10,21,22,16,25,12,20,27,4,18,19,29,5,9,13,30,28,2,26
2021-03-15 16:23:56,2021-03-15 16:37:47,0,100,830,1,2021-03-15 16:37:48,"R_2U4bxCSx5gk3cXb","anonymous","EN",1,0,4,5,2,0,1,4,1,NA,NA,1,NA,NA,1,2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,15,0,100,0,0,95,5,0,0,5,90,5,6,5,5,2,4,4,2,3,5,5,4,4,2,2,3,5,3,1,2,3,1,1,4,5,1,10,1,7,7,7,3,2,1,5,4,3,3,4,3,4,4,3,4,3,3,4,4,4,5,2,4,4,5,4,3,4,5,3,4,4,4,5,4,9,25,4,20,21,16,15,22,28,17,5,30,18,14,24,3,6,23,7,1,10,8,2,11,19,13,27,12,26,29
2021-03-14 19:33:42,2021-03-15 20:21:01,0,100,89238,1,2021-03-15 20:21:01,"R_RV0UwJr3mFJB53r","anonymous","EN",1,1,3,4,3,0,1,3,NA,NA,1,NA,NA,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,30,70,0,0,100,0,0,0,30,70,0,8,4,4,4,2,3,2,2,1,1,3,4,3,3,2,2,1,1,1,1,1,1,3,3,1,10,0,6,6,6,1,2,3,5,3,1,2,1,2,5,2,1,2,1,2,5,2,1,3,1,2,5,2,1,2,1,1,6,3,2,2,2,2,23,9,12,29,13,7,27,16,11,30,19,17,5,24,15,26,1,22,28,10,3,8,6,4,2,20,21,18,25,14
2021-03-16 09:15:39,2021-03-16 09:27:52,0,100,733,1,2021-03-16 09:27:53,"R_O7Fj9ihrIG5PFwl","anonymous","EN",1,0,4,7,1,0,13,4,1,NA,NA,NA,NA,NA,4,1,1,0,1,1,1,1,0,0,1,2,1,3,1,1,1,1,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,0,4,18,80,2,3,91,6,7,4,13,73,3,0,4,4,4,4,4,4,NA,NA,NA,NA,4,4,4,5,5,5,5,4,4,2,4,4,4,1,10,1,3,3,3,1,2,3,3,5,2,3,3,3,5,3,3,5,2,5,6,2,2,2,2,2,6,2,2,2,2,5,3,6,6,3,2,3,15,13,20,16,5,19,17,21,6,11,23,12,7,3,18,9,27,25,8,4,22,30,2,10,28,14,1,24,26,29
